dst_ip,unique_sources,flows,total_packets,total_bytes,max_packet_rate
149.171.126.8,10,22,24080,24728230,963.3657728709912
149.171.126.4,10,14,15282,15733306,971.6209419710526
149.171.126.9,9,21,23032,23607386,955.9472771870816
149.171.126.1,9,17,18530,19102960,962.7988226458532
149.171.126.5,9,29,36124,34527412,968.8429010106968
149.171.126.3,8,20,21958,22484764,965.266203334594
149.171.126.6,7,12,13124,13487422,970.2105855092346
149.171.126.2,7,13,14214,14611112,949.3602972117366
149.171.126.0,6,10,10880,11235650,952.9103597693182
149.171.126.7,6,11,12062,12365616,969.5897823647546
