src_ip,dst_ip,src_port,dst_port,proto,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sinpkt,dinpkt,smean,dmean,total_packets,total_bytes,total_load,prediction,attack_probability,prediction_label
175.45.176.3,149.171.126.16,22592,143,tcp,0.6499018669128418,14,38,958,42622,80.01207974214623,11792.549598919397,524657.6711953471,0.0499150019425612,0.0154328604002256,68.42857142857143,1121.6315789473683,52,43580,67056.27759928332,1,0.7466666666666667,Attack
175.45.176.0,149.171.126.16,62762,56430,tcp,1.62312912940979,8,16,492,13442,14.78625425737199,2424.9456982090064,66252.27657586476,0.2318755899156843,0.1027372042338053,61.5,840.125,24,13934,8584.65278425922,1,0.78,Attack
175.45.176.0,149.171.126.16,45235,21,tcp,1.6816420555114746,12,12,820,962,14.2717648630049,3900.9490625546728,4576.479266070238,0.1528765505010431,0.0902357318184592,68.33333333333333,80.16666666666667,24,1782,1059.6785410781138,1,0.7766666666666666,Attack
149.171.126.14,175.45.176.3,179,33159,tcp,0.1214780807495117,6,4,354,236,82.31937760541376,23312.84773785318,15541.89849190212,0.0242956161499023,0.0083750089009602,59.0,59.0,10,590,4856.843278719412,1,0.64,Attack
175.45.176.3,149.171.126.14,43722,179,tcp,0.3805370330810547,10,6,694,364,42.04584208389512,14589.907203111608,7652.343259268912,0.0399287806616889,0.0522409915924072,69.4,60.66666666666666,16,1058,2780.281307797565,1,0.6633333333333333,Attack
175.45.176.3,149.171.126.14,62994,179,tcp,0.4494540691375732,10,6,694,364,35.59874322798169,12352.763900109649,6478.971267492668,0.0477503405676947,0.0756596088409423,69.4,60.66666666666666,16,1058,2353.966895950289,1,0.68,Attack
175.45.176.3,149.171.126.14,62708,179,tcp,0.6371088027954102,10,8,694,482,28.2526311377622,8714.367115380874,6052.341425956169,0.0682677692837185,0.0811376912253243,69.4,60.25,18,1176,1845.8385676671303,1,0.7233333333333334,Attack
175.45.176.3,149.171.126.14,63945,179,tcp,0.5215840339660645,10,8,694,482,34.5102588036104,10644.497604313608,7392.864330373427,0.0557940006256103,0.066054139818464,69.4,60.25,18,1176,2254.670241835879,1,0.72,Attack
175.45.176.0,149.171.126.18,40755,25,tcp,2.093084812164306,62,28,57321,2660,42.99873539617229,219087.15659057704,10166.812102561626,0.0343128657731853,0.0750924392982765,924.532258064516,95.0,90,59981,28656.74608664233,1,0.7766666666666666,Attack
175.45.176.3,149.171.126.14,63888,179,tcp,0.2586870193481445,10,6,694,364,61.85080349341759,21462.2288122159,11256.846235802,0.0275051328870985,0.039106798171997,69.4,60.66666666666666,16,1058,4089.8843810022377,1,0.6466666666666666,Attack
175.45.176.3,149.171.126.14,60835,179,tcp,0.5429050922393799,10,8,694,482,33.15496623130469,10226.465139789092,7102.530543772828,0.0602108902401394,0.0681090014321463,69.4,60.25,18,1176,2166.12446044524,1,0.7233333333333334,Attack
175.45.176.2,149.171.126.16,52515,3057,tcp,0.3048529624938965,12,6,4334,364,59.044858389264895,113733.51833736624,9552.145979418854,0.0259488062425093,0.0536688327789306,361.1666666666667,60.66666666666666,18,4698,15410.708039598136,1,0.7,Attack
175.45.176.3,149.171.126.14,62899,179,tcp,0.4169518947601318,10,6,694,364,38.3737313610354,13315.684782279282,6984.019107708442,0.045088768005371,0.0644812107086181,69.4,60.66666666666666,16,1058,2537.4629862484653,1,0.69,Attack
175.45.176.3,149.171.126.14,44449,179,tcp,0.5767550468444824,10,8,694,482,31.209089714049025,9626.270338466677,6685.68055207628,0.0640838940938313,0.0722715854644775,69.4,60.25,18,1176,2038.9938613178697,1,0.72,Attack
175.45.176.2,149.171.126.17,5068,111,tcp,0.9962210655212402,10,8,724,482,18.06827884188745,5813.970614011785,3870.6268452398895,0.11069122950236,0.1314799785614013,72.4,60.25,18,1206,1210.5746824064595,1,0.76,Attack
175.45.176.2,149.171.126.19,61809,161,udp,1.9073486328125e-06,2,0,170,0,1048576.0,713031680.0,0.0,1.9073486328125e-06,0.0,85.0,0.0,2,170,89128960.0,1,0.9606898160958425,Attack
175.45.176.3,149.171.126.14,44444,179,tcp,0.3878519535064697,10,6,694,364,41.252853970047376,14314.74032760644,7508.019422548622,0.0381196604834662,0.0682791709899902,69.4,60.66666666666666,16,1058,2727.844968769383,1,0.6833333333333333,Attack
175.45.176.1,149.171.126.18,4657,80,tcp,0.3935561180114746,10,8,1020,1224,45.73680645837448,20734.01892779643,24880.82271335572,0.0437284575568305,0.0476691382271902,102.0,153.0,18,2244,5701.855205144018,1,0.7533333333333333,Attack
