src_ip,dst_ip,src_port,dst_port,proto,dur,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sinpkt,dinpkt,smean,dmean,total_packets,total_bytes,total_load
175.45.176.3,149.171.126.16,22592,143,tcp,0.6499018669128418,14,38,958,42622,80.01207974214623,11792.549598919397,524657.6711953471,0.049915001942561224,0.015432860400225665,68.42857142857143,1121.6315789473683,52,43580,67056.27759928332
175.45.176.0,149.171.126.16,62762,56430,tcp,1.62312912940979,8,16,492,13442,14.78625425737199,2424.9456982090064,66252.27657586476,0.2318755899156843,0.10273720423380533,61.5,840.125,24,13934,8584.65278425922
175.45.176.0,149.171.126.16,45235,21,tcp,1.6816420555114746,12,12,820,962,14.2717648630049,3900.9490625546728,4576.479266070238,0.15287655050104315,0.09023573181845924,68.33333333333333,80.16666666666667,24,1782,1059.6785410781138
149.171.126.14,175.45.176.3,179,33159,tcp,0.12147808074951172,6,4,354,236,82.31937760541376,23312.84773785318,15541.898491902119,0.024295616149902343,0.008375008900960287,59.0,59.0,10,590,4856.843278719412
175.45.176.3,149.171.126.14,43722,179,tcp,0.3805370330810547,10,6,694,364,42.045842083895124,14589.907203111608,7652.343259268912,0.03992878066168891,0.05224099159240723,69.4,60.666666666666664,16,1058,2780.281307797565
175.45.176.3,149.171.126.14,62994,179,tcp,0.44945406913757324,10,6,694,364,35.59874322798169,12352.763900109647,6478.971267492668,0.04775034056769477,0.07565960884094239,69.4,60.666666666666664,16,1058,2353.966895950289
175.45.176.3,149.171.126.14,62708,179,tcp,0.6371088027954102,10,8,694,482,28.252631137762197,8714.367115380874,6052.341425956169,0.06826776928371853,0.08113769122532435,69.4,60.25,18,1176,1845.8385676671303
175.45.176.3,149.171.126.14,63945,179,tcp,0.5215840339660645,10,8,694,482,34.5102588036104,10644.497604313607,7392.864330373427,0.05579400062561035,0.066054139818464,69.4,60.25,18,1176,2254.670241835879
175.45.176.0,149.171.126.18,40755,25,tcp,2.0930848121643066,62,28,57321,2660,42.99873539617229,219087.15659057704,10166.812102561626,0.034312865773185354,0.07509243929827655,924.5322580645161,95.0,90,59981,28656.746086642335
175.45.176.3,149.171.126.14,63888,179,tcp,0.25868701934814453,10,6,694,364,61.85080349341759,21462.2288122159,11256.846235802,0.027505132887098525,0.03910679817199707,69.4,60.666666666666664,16,1058,4089.8843810022377
175.45.176.3,149.171.126.14,60835,179,tcp,0.5429050922393799,10,8,694,482,33.15496623130469,10226.465139789092,7102.5305437728275,0.06021089024013943,0.06810900143214635,69.4,60.25,18,1176,2166.12446044524
175.45.176.2,149.171.126.16,52515,3057,tcp,0.3048529624938965,12,6,4334,364,59.044858389264895,113733.51833736624,9552.145979418854,0.025948806242509323,0.05366883277893066,361.1666666666667,60.666666666666664,18,4698,15410.708039598137
